overhead1,overhead2,overhead3,overhead4,overhead5,overhead6,overhead7,overhead8,overhead9,overhead10,overhead11,overhead12,overhead13,overhead14,overhead15,overhead16,overhead17,overhead18,overhead19,overhead20
1.11610542181,1.31715669638,1.08576946964,1.36481223965,1.73896454702,2.9204181119,2.37429735468,1.54623851212,1.32832723717,1.36210744294,1.31862741243,1.70894307143,1.79210073002,1.88185179393,1.07079746028,1.05717655629,1.73201206564,1.83824904301,3.21279557608,1.98952946935
2.45163683558,1.09843836016,1.70993432986,1.73703083676,2.67634838068,20.8457272857,3.51500552983,10.9405166638,1.74395713524,1.64808534582,1.1916849233,1.21538536395,1.86726664934,1.63262289998,1.48237740989,1.57818969612,2.16782614034,1.4918361108,1.55286359431,4.17408247968
1.16621421305,1.39107508168,2.76854565061,1.77947470623,2.31972582901,1.21971142068,1.6154419403,2.19929867077,2.92203260914,1.17721289387,1.63109407757,1.06323385728,1.30718511508,1.06003436245,1.83525072629,2.00939256065,2.35834009899,2.31096624471,2.16505531222,1.46529631941
1.74143466592,3.42277756052,3.40200305982,1.58247837324,2.16372108048,2.09676947261,1.73449016374,1.88782176418,1.88878242766,1.15806085735,1.69923162457,2.10280005693,1.5947540764,3.80897730364,1.54186636709,2.07577066862,1.75590654402,1.65280200942,2.48599399578,1.27642421058
1.42954746198,3.19028914615,2.57216565052,1.52468076416,1.04609541425,4.33612537564,1.56690658784,1.57758383643,4.47118863828,2.4603981272,1.49239373766,1.09193201232,1.66105337116,1.7573039116,1.70226938179,1.20851900752,1.0,2.52170062011,1.2729394293,1.71604589316
1.09045283041,1.71782529294,2.29540785308,1.12793980113,1.57487507246,1.81169663053,2.3678014176,1.04276068716,2.73102344493,2.66951853072,1.57949825149,2.77749081251,1.88441289723,1.72917120538,2.10877285985,2.02924581654,1.66235411991,1.54093899498,1.53055441866,2.29762284581
3.30020376827,2.01795999579,1.44001458602,2.39620015002,1.57476732947,1.36506005937,2.42968908661,2.07227211829,1.18124274999,2.21404229845,1.96866438173,2.63761655502,1.91596412653,1.29558274435,1.56409043068,1.52104004655,1.1122713034,2.18665739829,2.23291016078,1.7693023396
9.84109905648,1.66671152072,1.13228577642,2.24387676177,2.55197751712,1.9542900751,1.85808968802,1.5534110441,1.0,1.84440040624,1.06520215529,1.58527281169,1.73723340321,1.16928960611,1.09436847059,1.05634986711,1.01647907176,1.03793928007,1.52538460585,1.19907230478
3.17838432948,1.55877813543,1.07362434854,1.58211396196,1.61451814458,1.78058860468,4.23382518617,1.26105884744,1.03103576529,1.44401265635,2.44234907119,2.85337899215,1.36771117229,1.84378874234,1.21286412006,1.59706768621,1.70723999647,1.6096424082,1.79311667029,2.28941825855
1.21947163035,2.25056776083,1.8690576804,2.72213125542,1.08882617752,1.43267507688,2.67410627573,1.82375372679,2.95468780397,1.08212226636,1.94845996737,1.72171685605,1.58403865582,1.17346791445,1.71754584073,1.53250145337,1.98181431488,1.77491071959,1.18560875829,1.05828645725
3.84500315624,1.15214328158,1.44046990137,1.94661002328,1.32088403189,1.12436003943,2.72428888409,1.44617665679,2.10523321477,1.27800212576,1.91031027336,1.01939966098,1.07250962914,1.39064031663,1.28417224672,1.6005649552,1.15652497206,2.03623837376,1.07056148599,1.45099268655
2.43871143748,2.90629124895,1.02633779383,1.87181191355,1.62416204136,1.20069438352,1.53460876545,1.49038484455,2.39348860071,1.81261887927,1.92106188335,1.82412556661,1.30155600616,3.28342597503,2.25369377544,2.05334892973,1.74394769897,1.27196612466,1.69755193031,1.71346721994
1.06879872776,1.53756036666,1.15658507439,1.2642658288,1.37257236939,2.20300894971,1.73278368051,2.80692540873,1.9788809646,1.97896779121,1.65083413351,3.4702158197,1.29597702483,1.28697839567,1.29517643314,2.87309379272,1.98527156578,1.9624760556,1.20282465526,3.27079354011
1.71467410065,1.47313995242,1.0,1.9700312549,3.72563874958,3.17744270813,2.58282567817,1.26046154832,1.51107910537,1.58950170538,3.13487841078,2.36239612502,1.12712057817,2.02670917998,1.6218148627,1.77073420592,1.72415954282,1.90783266395,1.72274909703,1.30065438286
1.19813761488,1.9375496946,1.49189422963,1.79518131887,1.67081339195,1.39521082131,1.07686660021,2.07974168883,1.25410489614,1.03871060008,1.5907184739,1.73488146895,2.17028469196,1.17264561443,2.7261686458,1.59715663116,2.45888426077,1.39822855481,2.09239072063,1.64235245118
1.42647974345,2.87151833227,3.47363804381,2.19615423622,1.24411062085,1.49047917793,1.98541649407,1.67953338569,1.37828300598,2.0586247057,2.01393944764,2.96650624723,2.00441216621,1.17815128018,2.13698205405,1.93907975372,2.91275430369,2.50526421396,1.50004157794,1.92617574934
1.27711534149,1.52725959079,2.31281250319,2.17067445482,1.66844715834,2.46563333056,1.97922439929,2.39939128504,2.09085556538,1.09541850013,1.81196570726,1.33609681887,1.7575098952,3.04421937799,1.52903227024,1.67651548109,2.95309431288,1.28243857203,1.80957815453,1.65178399672
3.70858915498,1.15157164909,1.81315458386,1.62837498565,1.45275120563,3.59396141494,1.34839041307,1.19515269731,2.41684585968,1.96408010525,1.12130746447,2.24335688271,1.46613282484,1.1491773198,1.06334394405,1.75660490144,0.983089929391,1.55462599966,2.62587123085,1.36427964872
1.07700442154,2.5263455028,1.26399525604,1.08474080417,1.2587909379,30.0,1.59845339607,1.07789605203,1.63124523046,2.18039156121,2.3232737717,1.38519297533,2.28978676324,2.36300933049,1.47021772778,1.15736985341,1.97834664946,2.57099237792,1.5411058345,2.34189860241
1.55129408564,1.7244470001,1.16782789189,0.993568048378,1.6579802827,1.57264966048,2.01740990123,2.43886417099,2.68231571963,2.06072529329,1.35604771201,2.03186682587,1.32132489761,2.5897791407,2.79824701296,1.62440285014,2.2690841663,1.9015747853,1.55366715934,2.09614145093
1.80250095148,1.81858270226,1.56472959823,2.07132918078,1.67365841071,1.43079834579,1.58213097728,1.91117707387,2.01092700098,4.68772508985,2.02975269387,1.66977464777,1.5659690124,1.27170718096,3.75887645075,2.01480691327,1.0926023085,2.80995082111,1.15529563379,1.19764955301
1.5857297421,1.80534262955,1.72024696711,1.66781654444,1.225329121,1.80811648961,1.81670466762,1.22988599271,1.96423387977,1.07264297167,1.32484474131,1.30136925119,1.79076731152,1.98343364103,1.7258287768,1.10898621022,1.11673976726,1.17303210411,1.55194438821,1.65378700687
1.19648042976,1.74702155219,1.31763317383,1.7031817411,1.86199730378,2.96234253469,2.55170812333,1.76780468779,1.71682254031,1.48452421001,5.37049396648,1.51407088066,2.07523161723,1.40922691231,1.52340902076,1.8222594905,2.62168915665,1.04993927696,1.89381864684,1.63085432981
1.6384502634,1.43888131399,1.65498314943,2.00391563485,1.69629578099,1.0601084549,1.07684465916,2.13843393441,2.95761025505,3.44293120432,1.16888927209,1.10626643949,1.05592316587,2.0852273338,1.73292486109,2.37449511244,1.18215669623,2.08586050586,2.01184986165,1.16121114459
1.24204635938,3.55563630838,2.29022386638,2.16070485295,1.55196187968,4.5711588654,1.3005733373,1.47742618181,1.77026078219,1.4660179727,2.54868032103,1.97792668075,1.5834643281,1.80459613439,2.1935036074,1.05378908648,1.27498723428,1.88942868,2.06679295505,2.5413099334
1.70181525373,3.67503238633,1.97710435542,1.35227078878,1.07180997966,1.49713326146,1.76583924499,1.2002723695,1.1115062566,1.4925918597,2.36869677633,2.60020267961,1.16126408916,1.77625670649,1.59040060639,1.46576300806,1.77711759429,1.76445920994,1.20866571013,2.67281258273
1.0,2.01806917268,1.26801467731,1.80150302189,7.8176799893,3.10336340779,1.25298479054,1.26341626502,3.30148691982,1.81705228018,1.04584816898,2.31902014271,2.14932294345,1.79442161622,1.9544494564,1.27108696614,2.04757971793,2.09285973267,1.0,1.65397992752
4.45529790771,2.08007506349,1.0912683435,2.1626672494,2.18459628993,1.69146216222,4.00529154941,1.41621015402,2.72698615634,1.28171433815,1.96937209299,1.91218527482,1.61297516775,1.30908935207,1.21592032232,1.88830177262,1.92722321623,2.842536731,3.20714164714,1.35486908551
1.65926906383,3.56964612853,2.70876867557,1.28528575127,1.66316089446,1.62814016515,1.86707197869,1.73355662983,1.53018260694,1.97358336122,1.8795501949,1.01342669788,1.75276418294,1.2354453876,1.13874637368,2.47867230775,1.20572780937,1.77820601832,1.21564142808,1.05186087969
1.32215807779,2.21532387014,1.43099600854,2.74074104134,1.76655712772,1.06218186624,5.03155294005,1.08189346345,2.79310076964,1.15038507416,1.40097186508,1.59166037938,1.73352749484,1.95688212422,1.55162166422,1.73178242006,2.96831814756,1.84485925334,1.5777463318,2.60289677436
1.34065049091,2.05453964121,1.53247227189,1.55524547028,2.51455789002,2.18529864894,1.14138885728,1.14249305889,1.53408473594,2.59139267799,1.79320905634,3.17986523218,2.08253199921,1.55872512286,1.32142447525,2.53071322315,2.82885873372,1.05016535733,1.24493031308,1.57873164707
