count,overhead1,overhead2,overhead3,overhead4
1,3.72885895472,1.08201480764,2.20768512095,4.43584223803
2,3.07576479595,1.54037709868,1.23335856219,1.5219178975
3,1.53174417057,4.08207987405,1.43263241467,1.7229905013
4,1.27047062692,1.83854984102,1.44716804463,1.24122072683
5,1.17374313226,2.79736752435,1.70117912865,2.54872343055
6,2.08741383304,1.75214340856,1.98627349306,1.37011778169
7,2.04714810689,1.20025931452,2.37677293795,3.12000211606
8,1.19350113517,2.51371033796,1.92317893255,2.37621957338
9,1.93199388034,2.33879669892,1.63165063289,3.62301243233
10,1.0,1.94059430127,2.29459504221,3.17896568688
11,2.65288732166,1.83780481352,1.86475087168,5.10375810942
12,1.14541882215,1.29586687723,1.98358748223,1.18013942569
13,1.13744160043,1.98333331979,1.64369147941,1.93428382209
14,3.33611085854,2.90999011852,1.72082953498,2.08266690261
15,1.97243843931,1.39430248169,2.11663579563,1.59039334924
16,1.27189965027,1.88560115958,1.50988728448,2.64305985717
17,1.08134707251,2.24159307439,6.43529136298,2.25846921396
18,1.35448513509,2.15297325389,1.45807406012,1.64673122459
19,1.23087778755,1.4081595443,1.32478149183,3.26859613896
20,3.29690128999,1.5510898856,1.50819030495,1.28735837251
21,1.5466567887,2.48945718939,2.51070321423,1.74933446089
22,1.7636283886,1.87510143382,2.61732414123,3.74229532072
23,1.09879259321,2.06162201579,1.99481781466,1.16063766799
24,1.35014983614,1.70422198121,1.85256682915,1.2395859208
25,1.52289373864,2.15012933008,2.14948623652,1.26190249178
26,2.66407793167,1.1703057205,1.24665579987,2.30308433504
27,2.20439956616,1.17652061017,1.89439648837,3.07206134457
28,1.97208472018,1.48206968295,3.83092713813,1.73872912763
29,2.11691574222,1.61435567119,2.2560098292,3.02727894872
30,1.56863719712,1.05012644322,1.90660349003,1.48044041466
31,2.04511927804,2.17963563279,1.58596736365,2.47041273882
32,1.80834504036,2.22318749524,1.32511755885,2.82606856711
33,1.90829430612,2.21732072574,2.38108786821,1.47613521325
34,1.45784339894,1.42939937194,1.77961301497,3.26697033919
35,2.25879825396,1.41979749545,1.20682968575,1.86124606965
36,1.76253391947,1.30229316642,1.55071395057,1.63093631449
