count,overhead
1,2.40081674171
2,2.85498382559
3,1.67655663003
4,2.32423333465
5,1.98867601909
6,1.15280969446
7,3.81753323321
8,1.6505049161
9,1.87757481773
10,3.20881382901
11,2.26518970613
12,2.85430209635
13,1.5995122801
14,1.06381471302
15,1.6997665257
16,1.71073259463
17,3.21307742961
18,1.33956719588
19,1.25853967807
20,2.56571749667
21,2.05271521967
22,7.62757722022
23,3.27854277107
24,1.09607263162
25,1.557363394
26,2.54600054723
27,1.83967949856
28,12.3475191792
29,2.3876725452
30,2.86931826334
31,1.86329562113
32,1.3032780447
33,3.14304540619
34,1.18091467713
35,1.83767740179
36,1.36252221057
37,2.72243675303
38,8.95424948665
39,2.13498593367
40,1.23892912491
41,1.31026322502
42,1.74011724144
43,3.16439985426
44,1.17526234877
45,1.4512010914
46,1.44754085279
47,2.29787350216
48,2.1970921112
49,1.00665851338
50,1.65546590096
51,1.23931707074
52,2.99203397971
53,3.89144025129
54,1.71774439245
55,1.10482054099
56,1.93800690532
57,2.17408127183
58,1.57829046993
59,1.44381232272
60,1.38518075913
61,1.24940201359
62,1.98046233883
63,1.23269351836
64,1.95199336996
65,3.54734999948
66,1.63346917357
67,1.63759965493
68,2.12364080558
69,2.46068937276
70,1.59222414449
71,1.73698237028
72,1.45825442454
73,2.42474430054
74,1.07382197219
75,1.59427235413
76,1.21464714901
77,1.38711226658
78,1.57673524995
79,2.04526705493
80,1.39985592941
81,1.26833220833
82,1.98896611213
83,1.27500602686
84,3.49007984629
85,1.27455518781
86,1.22853404106
87,1.05373779146
88,1.53900501887
89,2.07202700017
90,1.5852588413
91,2.09878826059
92,1.79274369734
93,1.89356457776
94,1.1678977225
95,1.53308436153
96,1.90072587695
97,1.75594409719
98,3.21733591743
99,3.43623897528
100,2.34249245699
