overhead1,overhead2,overhead3,overhead4
3.72885895472,1.08201480764,2.20768512095,4.43584223803
3.07576479595,1.54037709868,1.23335856219,1.5219178975
1.53174417057,4.08207987405,1.43263241467,1.7229905013
1.27047062692,1.83854984102,1.44716804463,1.24122072683
1.17374313226,2.79736752435,1.70117912865,2.54872343055
2.08741383304,1.75214340856,1.98627349306,1.37011778169
2.04714810689,1.20025931452,2.37677293795,3.12000211606
1.19350113517,2.51371033796,1.92317893255,2.37621957338
1.93199388034,2.33879669892,1.63165063289,3.62301243233
1.0,1.94059430127,2.29459504221,3.17896568688
2.65288732166,1.83780481352,1.86475087168,5.10375810942
1.14541882215,1.29586687723,1.98358748223,1.18013942569
1.13744160043,1.98333331979,1.64369147941,1.93428382209
3.33611085854,2.90999011852,1.72082953498,2.08266690261
1.97243843931,1.39430248169,2.11663579563,1.59039334924
1.27189965027,1.88560115958,1.50988728448,2.64305985717
1.08134707251,2.24159307439,6.43529136298,2.25846921396
1.35448513509,2.15297325389,1.45807406012,1.64673122459
1.23087778755,1.4081595443,1.32478149183,3.26859613896
3.29690128999,1.5510898856,1.50819030495,1.28735837251
1.5466567887,2.48945718939,2.51070321423,1.74933446089
1.7636283886,1.87510143382,2.61732414123,3.74229532072
1.09879259321,2.06162201579,1.99481781466,1.16063766799
1.35014983614,1.70422198121,1.85256682915,1.2395859208
1.52289373864,2.15012933008,2.14948623652,1.26190249178
2.66407793167,1.1703057205,1.24665579987,2.30308433504
2.20439956616,1.17652061017,1.89439648837,3.07206134457
1.97208472018,1.48206968295,3.83092713813,1.73872912763
2.11691574222,1.61435567119,2.2560098292,3.02727894872
1.56863719712,1.05012644322,1.90660349003,1.48044041466
2.04511927804,2.17963563279,1.58596736365,2.47041273882
1.80834504036,2.22318749524,1.32511755885,2.82606856711
1.90829430612,2.21732072574,2.38108786821,1.47613521325
1.45784339894,1.42939937194,1.77961301497,3.26697033919
2.25879825396,1.41979749545,1.20682968575,1.86124606965
1.76253391947,1.30229316642,1.55071395057,1.63093631449
2.32182398015,1.72518206142,1.91459817216,1.13016947472
1.49802735981,1.04882307817,1.15299268895,2.67761997864
1.09529025192,1.08020040026,3.11543883986,1.3206425192
1.23203170179,2.1557854831,1.31731726784,2.44459399806
1.58504896455,2.04469515248,1.49845481003,1.39659731785
1.69323271459,1.03381190839,1.13199783059,2.35164197939
1.61268409084,1.59423057287,1.8926525777,3.15673275118
1.65990233315,1.20914357337,2.30736080444,2.24378722571
1.59195711229,1.88389527008,1.20522234133,2.01026363292
1.35004681195,3.13197478389,1.73749469151,1.91999910624
2.29337351075,1.07508119659,2.93185329483,2.38601138265
2.95114862632,1.11742003174,2.93389550044,2.26766604082
2.35552774018,1.74932525782,1.53164058908,1.83687094304
1.88192237839,1.46701252886,1.99363734123,1.65040710995
3.06340614893,1.57862122808,1.91337980019,2.41037653341
3.33953494654,2.36119515405,2.09500295626,1.82553420174
1.4253977433,1.15608230416,1.71867983681,3.4892211592
1.07869211072,1.20012871881,1.27558551729,1.92285486314
2.99421772053,1.14864111194,2.34939242384,2.22724202488
3.40239968688,2.43846971981,1.49701769852,2.52134968703
2.70250179955,1.89747659805,1.16444661328,2.69499137212
1.0584503407,1.79125273555,1.39463934794,1.74613420928
1.10060183017,8.71891703748,3.37826363431,2.34130125975
1.92784710679,2.40287618244,1.32561718179,2.28669328571
1.07375416828,1.29007511583,1.25429507777,2.23657521138
